iterationName	gameid	time	maha	pine	geni	neka	moli	hale	wema	luno	kega	pame	puwa	mewu	mila	giko	wonu	nupi	target	finalRole	eventType
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434166848	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434193933	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434205867	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434214934	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434226044	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434229917	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434240785	false	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434242672	false	true	false	false	true	false	false	true	false	false	false	false	true	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434246066	false	true	false	false	true	false	false	true	false	false	false	false	true	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434246416	false	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false	blueSquare2	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434250375	false	false	false	false	false	false	false	true	false	false	false	true	false	false	false	false	redSquare1	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434251380	false	true	false	false	true	false	false	true	false	false	false	false	true	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434253811	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	redSquare2	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434258287	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434260504	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	spottedCircle1	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434261478	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434264504	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434265170	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	true	spottedCircle2	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434267473	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434268346	false	false	false	false	true	false	false	false	false	false	false	false	true	false	false	false	stripedCircle1	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434270411	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434271461	false	false	false	false	true	false	false	false	false	false	false	false	true	false	false	false	stripedCircle2	listener	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434273288	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434277126	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434280334	false	false	false	false	false	false	false	false	true	false	false	false	true	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434284905	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434297720	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434300329	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434303213	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434313908	true	false	true	false	false	false	false	false	false	true	true	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434317639	true	false	true	false	false	false	false	false	false	true	true	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434320539	true	false	true	false	false	false	false	false	false	true	true	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434323415	true	false	true	false	false	false	false	false	false	true	true	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434326279	true	false	true	false	false	false	false	false	false	true	true	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434329346	true	false	true	false	true	false	false	false	false	true	true	true	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434341471	true	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434347272	true	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434350050	true	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434356316	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	2484-7efd89bc-956a-4dd5-9a9e-3119bf988e87	1516434358570	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
