alpha,costWeight,priorSigma,chainNum
1,0.0,1,0
1,1.0,1,1
2,0.0,1,2
2,1.0,1,3
2,2.0,1,4
3,0.0,1,5
3,1.0,1,6
3,2.0,1,7
3,3.0,1,8
4,0.0,1,9
4,1.0,1,10
4,2.0,1,11
4,3.0,1,12
4,4.0,1,13
5,0.0,1,14
5,1.0,1,15
5,2.0,1,16
5,3.0,1,17
5,4.0,1,18
5,5.0,1,19
6,0.0,1,20
6,1.0,1,21
6,2.0,1,22
6,3.0,1,23
6,4.0,1,24
6,5.0,1,25
6,6.0,1,26
7,0.0,1,27
7,1.0,1,28
7,2.0,1,29
7,3.0,1,30
7,4.0,1,31
7,5.0,1,32
7,6.0,1,33
7,7.0,1,34
8,0.0,1,35
8,1.0,1,36
8,2.0,1,37
8,3.0,1,38
8,4.0,1,39
8,5.0,1,40
8,6.0,1,41
8,7.0,1,42
8,8.0,1,43
9,0.0,1,44
9,1.0,1,45
9,2.0,1,46
9,3.0,1,47
9,4.0,1,48
9,5.0,1,49
9,6.0,1,50
9,7.0,1,51
9,8.0,1,52
9,9.0,1,53
10,0.0,1,54
10,1.0,1,55
10,2.0,1,56
10,3.0,1,57
10,4.0,1,58
10,5.0,1,59
10,6.0,1,60
10,7.0,1,61
10,8.0,1,62
10,9.0,1,63
10,10.0,1,64
11,0.0,1,65
11,1.0,1,66
11,2.0,1,67
11,3.0,1,68
11,4.0,1,69
11,5.0,1,70
11,6.0,1,71
11,7.0,1,72
11,8.0,1,73
11,9.0,1,74
11,10.0,1,75
12,0.0,1,76
12,1.0,1,77
12,2.0,1,78
12,3.0,1,79
12,4.0,1,80
12,5.0,1,81
12,6.0,1,82
12,7.0,1,83
12,8.0,1,84
12,9.0,1,85
12,10.0,1,86
13,0.0,1,87
13,1.0,1,88
13,2.0,1,89
13,3.0,1,90
13,4.0,1,91
13,5.0,1,92
13,6.0,1,93
13,7.0,1,94
13,8.0,1,95
13,9.0,1,96
13,10.0,1,97
14,0.0,1,98
14,1.0,1,99
14,2.0,1,100
14,3.0,1,101
14,4.0,1,102
14,5.0,1,103
14,6.0,1,104
14,7.0,1,105
14,8.0,1,106
14,9.0,1,107
14,10.0,1,108
15,0.0,1,109
15,1.0,1,110
15,2.0,1,111
15,3.0,1,112
15,4.0,1,113
15,5.0,1,114
15,6.0,1,115
15,7.0,1,116
15,8.0,1,117
15,9.0,1,118
15,10.0,1,119
16,0.0,1,120
16,1.0,1,121
16,2.0,1,122
16,3.0,1,123
16,4.0,1,124
16,5.0,1,125
16,6.0,1,126
16,7.0,1,127
16,8.0,1,128
16,9.0,1,129
16,10.0,1,130
17,0.0,1,131
17,1.0,1,132
17,2.0,1,133
17,3.0,1,134
17,4.0,1,135
17,5.0,1,136
17,6.0,1,137
17,7.0,1,138
17,8.0,1,139
17,9.0,1,140
17,10.0,1,141
18,0.0,1,142
18,1.0,1,143
18,2.0,1,144
18,3.0,1,145
18,4.0,1,146
18,5.0,1,147
18,6.0,1,148
18,7.0,1,149
18,8.0,1,150
18,9.0,1,151
18,10.0,1,152
19,0.0,1,153
19,1.0,1,154
19,2.0,1,155
19,3.0,1,156
19,4.0,1,157
19,5.0,1,158
19,6.0,1,159
19,7.0,1,160
19,8.0,1,161
19,9.0,1,162
19,10.0,1,163
